Question,Resolution,ConditionId,Signal_50pct,YesPnl_50pct,NoPnl_50pct,Pred_50pct,Correct_50pct,Signal_25pctRem,YesPnl_25pctRem,NoPnl_25pctRem,Pred_25pctRem,Correct_25pctRem,Signal_10pctRem,YesPnl_10pctRem,NoPnl_10pctRem,Pred_10pctRem,Correct_10pctRem,Signal_24hPre,YesPnl_24hPre,NoPnl_24hPre,Pred_24hPre,Correct_24hPre
Will Zohran Mamdani win by less than 5%?,NO,0x9258f3aa2eeb9b09f38f6bf0e011873592ae463f917634ebdf4609c7d42dfefc,0.875,6.5,0.4,YES,False,0.931,12.0,0.4,YES,False,0.94,13.9,0.4,YES,False,0.94,13.9,0.4,YES,False
"Will Jorge ""Tuto"" Quiroga win by 15–20%?",NO,0x12335d506ec9b1cfaba764484caea32584746a7dda8f9f2d63b661a2d70f4c45,1.0,3.8,0.0,YES,False,1.0,11.8,-1.0,YES,False,1.0,11.8,-1.0,YES,False,1.0,14.2,-0.8,YES,False
Will Jara win by at least 5%?,NO,0xe7b27fd3bc63c41c7bbb471ba58a59abcb3cd3570b7bf2d5812bc92f8488d896,1.0,1.5,0.0,YES,False,-1.0,-0.0,0.0,NO,True,-1.0,-1.7,0.0,NO,True,-1.0,-4.4,0.0,NO,True
Will Trump release the Epstein files by November 30?,NO,0x581ea2e0e1b796f217f7d72e8517592c2f02de25139bb75b83c4580ffed339e7,-1.0,-8.0,0.1,NO,True,-1.0,-18.7,4.4,NO,True,-1.0,-15.1,4.2,NO,True,-1.0,-14.8,4.2,NO,True
Will Trump meet with Vladimir Putin in September?,NO,0xfc432f69ae425db068e925e5e228e9a08a19d40080e331eff970338c98c6f322,0.823,13.5,1.3,YES,False,0.787,11.0,1.3,YES,False,0.776,10.4,1.3,YES,False,0.774,10.3,1.3,YES,False
Nicolas Sarkozy released from custody by November 30?,YES,0xa05ec2877bfffff776bbbf35cb672ca337ae659ee984adf50d4139dc14801f21,1.0,0.0,-7.3,YES,True,1.0,0.0,-7.2,YES,True,1.0,2.6,-9.2,YES,True,1.0,2.6,-9.2,YES,True
Will Zohran Mamdani get between 50% and 55% of the vote in the 2025 NYC mayoral election?,YES,0x4e33da0edbd77688d77cfc7d690ef3820f477fae2da685cbc8bdb27265f88d99,1.0,6.5,-1.8,YES,True,1.0,6.1,-4.2,YES,True,1.0,3.2,-4.3,YES,True,1.0,3.2,-4.3,YES,True
Will Trump praise al-Sharaa on Monday?,YES,0x7b8eb5ae4fb5fa9e7ac5497cba36e7a661e4505eb9d86eb2d06ba8971a024eb4,0.142,3.3,2.5,YES,True,0.617,3.4,0.8,YES,True,-1.0,0.0,19.6,NO,False,,,,,
Will Trump talk to Ahmed Al Shara in November?,YES,0x8f87450c6be021f4530924115ef2eb67f4374c85244a8999bc67dd5fbfe7f439,1.0,0.0,-4.1,YES,True,1.0,0.0,-1.3,YES,True,1.0,0.0,-0.2,YES,True,-1.0,0.0,0.4,NO,False
Will an election be called instead of appointing a Prime Minister?,NO,0xb96edcc6ed23513e079bce51b512e317f64153a54cc4f870198374c0ce0765bd,-1.0,-16.2,0.0,NO,True,-1.0,-16.2,0.0,NO,True,-1.0,-16.2,0.0,NO,True,-1.0,-16.2,0.0,NO,True
Will courts block Trump's 100k H1b by September 30?,NO,0x201ffb8b250aebc9b69d8f4813e416b85cb31737832b1020c8136462157acd20,1.0,4.1,0.0,YES,False,1.0,9.1,0.0,YES,False,1.0,9.0,0.0,YES,False,1.0,9.0,0.0,YES,False
Will Catalin Drula finish second in the 2025 Bucharest mayoral by-election?,NO,0x035a31006f1116eb5c17462ad4814b9b30a576f55c8397a9e454c4857266cd79,1.0,3.2,0.0,YES,False,1.0,3.2,0.0,YES,False,1.0,5.1,0.0,YES,False,1.0,1.9,0.0,YES,False
Will voter turnout in the next New York City mayoral election be between 30–33%?,NO,0x3c9b42efa1d69f6fdd559b4c419c6d7c2fd6c9de8348b331d2685b17b8dd1edb,0.779,2.9,0.4,YES,False,-1.0,-3.4,0.4,NO,True,0.837,4.0,0.4,YES,False,0.849,4.4,0.4,YES,False
Will Jeannette Jara win less than 20% of votes in the first round?,NO,0x5dddfd9a85b30398bf2a4faf76f0233a5975105bf51cf4371c99e391e669a9da,1.0,2.0,0.0,YES,False,1.0,2.1,0.0,YES,False,-1.0,-1.8,0.0,NO,True,-1.0,-1.8,0.0,NO,True
"Will Trump say ""MAGA"" or ""Make America Great Again"" while addressing the nation on December 17?",NO,0xef90eab3e4a4bc29196084043db8c23c599c2c1ae5ef2bfa00b3c46ad3ec5a02,-1.0,0.0,1.7,NO,True,-1.0,0.0,1.7,NO,True,0.72,10.7,1.7,YES,False,-1.0,0.0,1.7,NO,True
Will Trump meet with Kim Jong Un in November?,NO,0x5fd74be6f98d592bbdb484c1c545b879eabf94e1aa47d0ef8c53ace0be12e0e5,0.982,8.0,0.1,YES,False,0.974,8.0,0.1,YES,False,1.0,7.8,-1.3,YES,False,1.0,7.8,-1.3,YES,False
