condition_id,question,resolution,volume_usd,yes_weighted_pnl,no_weighted_pnl,signal,predicted_side,correct,yes_holders,no_holders
0xb21ea818dbb4e59594eec76d5d490d63195961d1fdc78ba840a9443f0bd87899,"Will Elon Musk post 280-299 tweets from November 11 to November 18, 2025?",NO,999733.053987,32176.72845080008,621.8919410455823,0.9620781646535232,YES,False,11,18
0x61ef853c0ecc72a583da722cf6434681f9b92d10652cded44d8f889beb923418,Dvalishvili vs. Sandhagen,YES,999731.655026,286.6755599138151,-1228444.390208551,1.0,YES,True,3,20
0x6085053aed660a81b4a3238e5576358a1c599f886fead5e54a6df78a7bf7ee0f,Spread: Knicks (-4.5),YES,99957.405227,0.0,0.0,0.0,NEUTRAL,False,0,0
0xd478711283c09cbdd79613e2e5de803c1609d89c1d1070a9314f452a308556de,"Bitcoin Up or Down - November 10, 9:15PM-9:30PM ET",YES,99935.301991,0.0,0.0,0.0,NEUTRAL,False,0,0
0xa976888c58e5306a79ba4c639b7ec087edd9d8e6b0d9bd4b8ab1fbe332658692,"Will the price of Bitcoin be between $88,000 and $90,000 on December 3?",NO,99934.429417,0.0,0.0,0.0,NEUTRAL,False,0,0
0x0b4040fc7d7861e2bed49b577fe1badae6497ba79a4a4ebf673e8c1940516ce4,Will Club Brugge win on 2025-09-30?,NO,99932.736656,-2523.5720332970004,0.0,-1.0,NO,True,2,0
0x75687bf3518e6db478a66a04737c059d3539d1915fcab7c09781da2e9047f78e,Barcelona vs. Atletico Madrid: O/U 3.5,YES,99902.732355,0.0,0.0,0.0,NEUTRAL,False,0,0
0x19bf3cfee2d32930a9a93cfde5db7e135488baae14c0e4c64777530064e7e550,"Bitcoin Up or Down - December 15, 12AM ET",NO,99900.85389,0.0,0.0,0.0,NEUTRAL,False,0,0
0x745486b4d081607c1ff5e755e9ef1549dd60297d3cae27dc28c234508d31f684,Will the price of Solana be between $180 and $190 on October 8?,NO,998961.612626,0.0,0.0,0.0,NEUTRAL,False,0,0
0xe93c79708256b1f78d82277d2b8778a5a3fd998833083fedb6c8a7baf20b3720,Pistons vs. 76ers,YES,998959.059408,0.0,0.0,0.0,NEUTRAL,False,0,0
0x5280e363b7a62f7d6383cb580781ade0b38d6e03712c4c248711ab9bcc9f510b,"Bitcoin Up or Down - November 10, 1:00AM-1:15AM ET",YES,99881.649576,0.0,0.0,0.0,NEUTRAL,False,0,0
0x78b85c6a7a86506caab07300b63d550ee4b7dfc2448a5f282b1d46a9e47a8802,Will Ethereum reach $5600 in October?,NO,998599.889847,-447751.09737438796,743.7341241989459,-1.0,NO,True,18,20
0x4fcbbc517cc6e2e39fa4eab3adb336b7e6bade39399f533ad590d0643bdc03f8,Bears vs. Eagles: O/U 44.5,NO,99842.092835,422.73767400962225,0.0,1.0,YES,False,1,0
0x8889cbc83dc33b3b19fbd93b42643c26b243b7dd98a9df3b576ee7c3f3799bfb,"Bitcoin Up or Down - December 6, 8AM ET",YES,99835.006447,0.0,0.0,0.0,NEUTRAL,False,0,0
0xf9af328ed507d7b3da8a4a1873b54a57d59e4508f7681f5d01c12a0783b9e7d0,Will Borussia Dortmund win on 2025-11-22?,NO,99818.155301,-149.7868544626268,0.0,-1.0,NO,True,1,0
0xa0149f1f93d85fff28ba3e6cebdf166b7281705820430af795709818e9054c80,"Will the price of Ethereum be between $3,000 and $3,100 on December 5?",YES,99811.814092,0.0,-71.90938862287261,1.0,YES,True,0,1
0xd8a51600e6ec2641fcc25efea4f1ce32d00f0c665f5223142e11afd5ea7c126a,Will annual inflation increase by 3.0% in November?,NO,99793.107101,-722.5893586696197,70.62141718696499,-1.0,NO,True,14,4
0x1e3ddf778fd6bb66af63a8a18a61a44250387a99c8fc9882e919124194482472,"Bitcoin Up or Down - November 6, 5AM ET",YES,99789.759909,0.0,0.0,0.0,NEUTRAL,False,0,0
0x2a2c1ad33e5ada4bd6c3cfa5ffe8782dd176eb08a3e62067a7bb7ba3a3bba8e3,Will VfB Stuttgart win on 2025-11-09?,YES,99786.407083,44.62363226954732,0.0,1.0,YES,True,1,0
0xe5fbe9257950868d9e367f4466c79a3b997584e327c6b69d0a6f7204a0b758e1,Will Ajax Amsterdam win on 2025-09-30?,NO,99773.555522,-604.8997657102212,0.0,-1.0,NO,True,1,0
0x703e16666c4979622562ec916e7d7747f68992868fdf3ecd2213f3b1b8203014,Kings vs. Grizzlies,NO,997734.897404,0.0,0.0,0.0,NEUTRAL,False,0,0
0x52f00a00d6d26889314642200dc107be05314f750dadc52fafc3844893a8584b,Spread: Lakers (-10.5),NO,99764.670392,1413.8991029345182,0.0,1.0,YES,False,1,0
0x97867b47e493efb06dcef150e3e16cc320e8765fba84aaadf295cb634e5c948a,Will the price of Solana be between $110 and $120 on November 26?,NO,99756.483172,2.494706875111368,2.450809455969727,0.008876205476414881,YES,False,1,2
0x11c7e6df14db19b74bb5daf594da837eaafb4a07edd1845d533a9820ec7ac750,"Bitcoin Up or Down - December 5, 11:45PM-12:00AM ET",YES,99756.117171,0.0,0.0,0.0,NEUTRAL,False,0,0
0xfc678ffee1849b0e710730e56854f4bc6e501602d4acf31f3336bb294750d9c9,Counter-Strike: FaZe vs TheMongolz (BO1),NO,997519.631949,0.0,0.0,0.0,NEUTRAL,False,0,0
0x9258f3aa2eeb9b09f38f6bf0e011873592ae463f917634ebdf4609c7d42dfefc,Will Zohran Mamdani win by less than 5%?,NO,99727.645417,2566.40598904263,4.843756845915269,0.9962323715511023,YES,False,6,2
0x5eb53a1b64c429037f6d9245afee164813ed9388d037976d37ce042f0f79740e,"ATP World Tour Finals, Jimmy Connors Group: Carlos Alcaraz vs Lorenzo Musetti",YES,997217.719407,19.700325384807584,248442.62197151498,-0.9998414220296851,NO,False,9,17
0x46da0af4d89ec318916b3827363a0dfa7d451b4627e7fc07963f6f4121cd2237,"Bitcoin Up or Down - October 22, 7:45AM-8:00AM ET",NO,99719.804964,0.0,0.0,0.0,NEUTRAL,False,0,0
0xe9d5f92286ad75eff838f8d464de3c9046d6fb77003eceb9210188cce6727218,"UFC 323: Moreno vs. Taira (Flyweight, Main Card)",NO,997162.416048,-146415.82706905587,29.88309192848173,-1.0,NO,True,4,10
0xe00b8cd962038ff422aa9dc0948283959850ffc264c23e67a96124d1a86b2d3a,UCF vs. Kansas State,NO,99716.193323,-152.43051166966805,0.0,-1.0,NO,True,6,0
0x463d4ef6af4de4d685c352c927c70914ab74660635206f25ac8f322e5c70aba0,Will Bianca Censori be the #2 searched person on Google this year?,NO,99713.52253,-5727.458709406411,468.1714580717278,-1.0,NO,True,11,6
0x8c0ea5f3568be8551674431aa5dbc32d564ce667e24d333392cd283aaa736046,Will Real Madrid win on 2025-12-03?,YES,997105.262025,51.776303102789804,-9412.379593190903,1.0,YES,True,6,4
0x8df0ef5fb0b825686fae31fb2576bba1cc0ddd5b8edc9d2bf1ac58dfa13ef699,"Bitcoin Up or Down - October 22, 4:00AM-4:15AM ET",NO,99708.89587,0.0,0.0,0.0,NEUTRAL,False,0,0
0x102c98f54c6d5be80d8380ce55a93ae10bc4fd285729b3aa33a6712484c9375a,Seahawks vs. Jaguars,YES,997021.355061,2691.0814921229685,-159732.4157272936,1.0,YES,True,1,17
0x02cc3757a05ec20493ebd9c1abca54f07b25b60b3689f64cbef45e0957305d6c,Hurricanes vs. Sabres: O/U 6.5,NO,99700.222303,0.0,0.0,0.0,NEUTRAL,False,0,0
0xb1e66a7896d28a197fb8f594eaca1ba554aa31a03d8641cdf3912f623ebaea73,"Will the price of Ethereum be above $4,100 on October 27?",YES,99698.798809,0.0,0.0,0.0,NEUTRAL,False,0,0
0x5bb2a128f0626399dfab888253649051122e995087a9a420a79021e110b316e0,"Will the price of Ethereum be above $3,300 on November 20?",NO,99697.713325,-31854.226170641694,0.0,-1.0,NO,True,6,0
0x2b31e7ad9f42753434a1703d157a1c8414c92b6f1ea2fa35acf6df90be9d777e,Will the federal government be shut down for 30 or more days in 2025?,YES,996813.416494,1792.9011791940354,-23056.203923984755,1.0,YES,True,19,9
0xcc0bcfff8a4602124f8e25f91acefca68108cc6be28af14860c639547cdf9313,"Bitcoin Up or Down - October 12, 3AM ET",NO,99674.854114,0.0,0.0,0.0,NEUTRAL,False,0,0
0xbcba31155876fca1255fc7ca9e6663827b33416f9084ca549a26fa2d7fc57c28,"Bitcoin Up or Down - November 25, 5:00AM-5:15AM ET",NO,99671.02607,0.0,0.0,0.0,NEUTRAL,False,0,0
0x32662dad05236ef0c6e249f650e13225f5969fe03b8052d9005889727a17bae1,Will Borussia Mönchengladbach win on 2025-12-19?,NO,99668.440113,774.8230768078427,-46.5165336381801,1.0,YES,False,1,3
0xb94b29165172e1d95a1193512afa5261a245e4102d1107c6520efc37f752e677,"Will the price of Ethereum be above $3,400 on November 20?",NO,99666.114714,17649.76461339935,-2.098740350575103,1.0,YES,False,1,1
